539
4;My Little Pony: Friendship is Magic;series;mlp-fim;137358
5;Fluttershy;character;fluttershy;9927
6;Twilight Sparkle;character;twilight-sparkle;32966
7;Rainbow Dash;character;rainbow-dash;15456
8;Pinkie Pie;character;pinkie-pie;9255
9;Applejack;character;applejack;8435
10;Rarity;character;rarity;8985
12;Apple Bloom;character;apple-bloom;3072
13;Scootaloo;character;scootaloo;4118
14;Sweetie Belle;character;sweetie-belle;2988
15;Spike;character;spike;15480
16;Princess Celestia;character;princess-celestia;30888
17;Princess Luna;character;princess-luna;25794
18;Gilda;character;gilda;1349
19;Zecora;character;zecora;1950
20;Trixie;character;trixie;5096
21;Big Macintosh;character;big-macintosh;4003
22;Granny Smith;character;granny-smith;960
23;Braeburn;character;braeburn;655
24;Diamond Tiara;character;diamond-tiara;2002
25;Silver Spoon;character;silver-spoon;1170
26;Twist;character;twist;225
27;Snips;character;snips;192
28;Snails;character;snails;269
29;Cheerilee;character;cheerilee;1405
30;Mayor Mare;character;mayor-mare;419
31;Hoity Toity;character;hoity-toity;91
32;Photo Finish;character;photo-finish;130
33;Sapphire Shores;character;sapphire-shores;73
34;Spitfire;character;spitfire;1617
35;Soarin;character;soarin;1729
36;Prince Blueblood;character;prince-blueblood;1103
37;Little Strongheart;character;little-strongheart;85
38;Angel;character;angel;848
39;Winona;character;winona;236
40;Opalescence;character;opalescence;181
41;Gummy;character;gummy;310
42;Owlowiscious;character;owlowiscious;167
43;Philomena;character;philomena;237
44;Derpy Hooves;character;derpy-hooves;4528
45;Lyra;character;lyra;3253
46;Bon-Bon;character;bonbon;1750
47;DJ P0N-3;character;dj-p0n3;3743
48;Original Character;character;original-character;54522
49;Caramel;character;caramel;443
50;Doctor Whooves;character;doctor-whooves;2091
51;Octavia;character;octavia;3331
52;Discord;character;discord;8456
53;Nightmare Moon;character;nightmare-moon;3973
54;Pipsqueak;character;pipsqueak;493
55;Berry Punch;character;berry-punch;565
56;Carrot Top;character;carrot-top;457
57;Mare Do Well;character;mare-do-well;203
58;Tank;character;tank;163
59;Fancypants;character;fancypants;478
60;Fleur de Lis;character;fleur-de-lis;534
61;Other;character;other;33731
62;Daring Do;character;daring-do;1051
63;Minuette;character;minuette;596
64;Flim and Flam;character;flim-and-flam;405
65;Cranky Doodle Donkey;character;cranky-doodle-donkey;87
66;Matilda;character;matilda;33
67;Mr. Cake;character;mr-cake;434
68;Mrs. Cake;character;mrs-cake;540
69;Dinky Hooves;character;dinky-hooves;1025
70;Iron Will;character;iron-will;184
71;Princess Cadance;character;princess-cadance;5184
72;Shining Armor;character;shining-armor;4733
73;Main 6;character;main-6;36677
74;Cutie Mark Crusaders;character;cutie-mark-crusaders;9568
75;Wonderbolts;character;wonderbolts;1031
76;Diamond Dogs;character;diamond-dogs;478
77;Queen Chrysalis;character;queen-chrysalis;5077
78;Thunderlane;character;thunderlane;644
79;Flitter and Cloudchaser;character;flitter-and-cloudchaser;311
80;Rumble;character;rumble;619
81;Roseluck;character;roseluck;496
82;King Sombra;character;king-sombra;2665
83;Babs Seed;character;babs-seed;496
84;Changelings;character;changelings;4003
85;Crystal Ponies;character;crystal-ponies;420
86;Featherweight;character;featherweight;151
87;Noteworthy;character;noteworthy;103
88;Lightning Dust;character;lightning-dust;724
89;Nurse Redheart;character;nurse-redheart;575
90;Flower Ponies;character;flower-ponies;134
91;Raindrops;character;raindrops;143
92;Spa Ponies;character;spa-ponies;232
93;Sunset Shimmer;character;sunset-shimmer;7322
94;Pie Sisters;character;pie-sisters;316
95;Cherry Jubilee;character;cherry-jubilee;67
96;Cake Twins;character;cake-twins;321
97;Sparkler;character;sparkler;230
98;Flash Sentry;character;flash-sentry;1522
99;Cloudkicker;character;cloudkicker;122
100;Mane-iac;character;maneiac;110
101;Power Ponies;character;power-ponies;149
102;Cheese Sandwich;character;cheese-sandwich;353
103;Maud Pie;character;maud-pie;844
104;Coco Pommel;character;coco-pommel;354
105;Trenderhoof;character;trenderhoof;63
106;Breezies;character;breezies;75
107;Suri Polomare;character;suri-polomare;102
108;Ahuizotl;character;ahuizotl;136
109;Seabreeze;character;seabreeze;26
110;Fleetfoot;character;fleetfoot;184
111;Bulk Biceps;character;bulk-biceps;138
112;Tirek;character;tirek;762
113;Adagio Dazzle;character;adagio-dazzle;1110
114;Sonata Dusk;character;sonata-dusk;1021
115;Aria Blaze;character;aria-blaze;871
116;Twilight Velvet;character;twilight-velvet;556
117;Night Light;character;night-light;352
118;Ms. Harshwhinny;character;ms-harshwhinny;95
119;Screwball;character;screwball;192
120;Romance;genre;romance;43097
122;Dark;genre;dark;34609
123;My Little Pony: Equestria Girls;series;equestria-girls;10702
126;Sex;warning;sex;31594
127;Gore;warning;gore;22444
128;Starlight Glimmer;character;starlight-glimmer;4371
129;Ember;character;ember;442
130;Chancellor Puddinghead;character;chancellor-puddinghead;21
131;Clover the Clever;character;clover-the-clever;98
132;Commander Hurricane;character;commander-hurricane;47
133;Princess Platinum;character;princess-platinum;55
134;Private Pansy;character;private-pansy;23
135;Smart Cookie;character;smart-cookie;23
136;Starswirl the Bearded;character;starswirl-the-bearded;360
137;Blossomforth;character;blossomforth;39
138;Button Mash;character;button-mash;370
139;Cloudchaser;character;cloudchaser;32
140;Daisy;character;daisy;32
141;Filthy Rich;character;filthy-rich;173
142;Flitter;character;flitter;42
143;Lily;character;lily;40
144;Limestone Pie;character;limestone-pie;155
145;Marble Pie;character;marble-pie;163
146;Moondancer;character;moondancer;378
147;Moonlight Raven;character;moonlight-raven;20
148;Parcel Post;character;parcel-post;7
149;Pony Joe;character;pony-joe;49
150;Sassy Saddles;character;sassy-saddles;55
151;Treehugger;character;treehugger;104
152;Troubleshoes;character;troubleshoes;35
153;White Lightning;character;white-lightning;15
154;Wind Rider;character;wind-rider;25
155;Steven Magnet;character;steven-magnet;6
156;Tantabus;character;tantabus;61
157;The Smooze;character;the-smooze;23
158;Dazzlings;character;the-dazzlings;750
159;Applejack (EqG);character;applejack-eqg;428
160;Dean Cadance;character;dean-cadance;157
162;Indigo Zap;character;indigo-zap;77
163;Lemon Zest;character;lemon-zest;87
164;Micro Chips;character;micro-chips;41
165;Midnight Sparkle;character;midnight-sparkle;131
166;Pinkie Pie (EqG);character;pinkie-pie-eqg;431
168;Principal Cinch;character;principal-cinch;102
169;Rainbow Dash (EqG);character;rainbow-dash-eqg;725
170;Principal Celestia;character;principal-celestia;451
171;Rarity (EqG);character;rarity-eqg;529
172;Sandalwood;character;sandalwood;26
173;Sour Sweet;character;sour-sweet;114
174;Spike (EqG);character;spike-eqg;238
175;Sugarcoat;character;sugarcoat;96
176;Sunny Flare;character;sunny-flare;76
177;Sunset Shimmer (Demon);character;sunset-shimmer-demon;86
178;Twilight Sparkle (EqG);character;twilight-sparkle-eqg;1588
179;Vice-Principal Luna;character;vice-principal-luna;386
180;Nightmare Rarity;character;nightmare-rarity;40
181;Tiberius;character;tiberius;8
182;Princess Amore;character;princess-amore;27
183;Radiant Hope;character;radiant-hope;51
184;Zephyr Breeze;character;zephyr-breeze;165
185;Vapor Trail;character;vapor-trail;53
186;Sky Stinger;character;sky-stinger;42
187;Saffron Masala;character;saffron-masala;25
188;Coriander Cumin;character;coriander-cumin;10
189;Flurry Heart;character;flurry-heart;786
190;Sunburst;character;sunburst;508
191;Mr. Stripes;character;mr-stripes;1
192;Plaid Stripes;character;plaid-stripes;6
193;Thorax;character;thorax;557
194;Anon;character;anon;1801
195;Self Insert;character;self-insert;781
196;Yaks;character;yaks;42
197;Bat Pony;character;bat-pony;645
198;Griffons;character;griffons;490
199;Minotaur;character;minotaur;51
200;Royal Guard;character;royal-guard;607
201;Zebra;character;zebra;241
202;Pets;character;pets;24
203;Dragons;character;dragons;299
204;Twinkleshine;character;twinkleshine;65
